,ANO_ELEICAO,NUM_TURNO,SIGLA_UF,SIGLA_UE,DESCRICAO_UE,DESCRICAO_CARGO,NOME_CANDIDATO,DES_SITUACAO_CANDIDATURA,NUMERO_PARTIDO,DATA_NASCIMENTO,IDADE_DATA_ELEICAO,DESCRICAO_SEXO,DESCRICAO_ESTADO_CIVIL,SIGLA_UF_NASCIMENTO,CODIGO_MUNICIPIO_NASCIMENTO,DESPESA_MAX_CAMPANHA,DESC_SIT_TOT_TURNO,MUNICIPIO,data_nasc,data_posse,IDADE,SEXO,ESTADO_CIVIL,ELEITO,MIGRANTE,DESPESA_MAX,ANO,LIG_MUN,COD,NM_MUN,MULHERES_EL,IDOSOS_EL,ENS_SUPERIOR_EL,VR_RECEITA,VR_DESPESA,PREFEITO_ANTERIOR,PARTIDO_ANTERIOR,CODIGO_IBGE,AREAKM2,NOME_MUN,CDG,POPULACAO,PIB,BANDA_LARGA,RECEITA_CORR,DESPESA_CORR,REELEICAO,MESMO_PARTIDO,PIBPERCPT,RECEITA_PERCPT,DESPESA_PERCPT,PROP_INTERNET,DUMMY_ANO
0,2008,1,CE,13013,ABAIARA,PREFEITO,FRANCISCO JOAQUIM SAMPAIO,DEFERIDO,45,26/09/1965,-1,MASCULINO,DIVORCIADO(A),CE,-1,-1.0,ELEITO,ABAIARA - CE,1965-09-26,2009-01-01,43.295890410958904,1,0,1,1,-1e-06,2008,ABAIARA - 2008,FRANCISCO JOAQUIM SAMPAIO ABAIARA - 2008,ABAIARA,0.5039370078740157,0.28346456692913385,0.07086614173228346,45216.05,45216.05,JOSÉ MOREIRA SAMPAIO,45.0,2300101,178.8,Abaiara - CE,2300101 - 2008,10835.0,30985,6.0,82011.65969986,82011.65969986,0,1,2859.713890170743,7.569142565746193,7.569142565746193,0.0005537609598523304,0
1,2008,1,CE,13013,ABAIARA,PREFEITO,MARIA HELENA MORAIS DE LUCENA,DEFERIDO,22,05/12/1949,-1,FEMININO,DIVORCIADO(A),PE,-1,-1.0,NÃO ELEITO,ABAIARA - CE,1949-05-12,2009-01-01,59.68219178082192,0,0,0,0,-1e-06,2008,ABAIARA - 2008,MARIA HELENA MORAIS DE LUCENA ABAIARA - 2008,ABAIARA,0.5039370078740157,0.28346456692913385,0.07086614173228346,1374.95,1374.95,JOSÉ MOREIRA SAMPAIO,45.0,2300101,178.8,Abaiara - CE,2300101 - 2008,10835.0,30985,6.0,2493.84746134,2493.84746134,0,0,2859.713890170743,0.23016589398615597,0.23016589398615597,0.0005537609598523304,0
2,2008,1,CE,13145,ACARAPE,PREFEITO,FRANCISCO KERRES OLIVIER DE ALBUQUERQUE,DEFERIDO,13,05/08/1964,-1,MASCULINO,SOLTEIRO(A),CE,-1,-1.0,NÃO ELEITO,ACARAPE - CE,1964-05-08,2009-01-01,44.68219178082192,1,0,0,1,-1e-06,2008,ACARAPE - 2008,FRANCISCO KERRES OLIVIER DE ALBUQUERQUE ACARAPE - 2008,ACARAPE,0.477124183006536,0.32679738562091504,0.0915032679738562,7070.0,7070.0,FLAVIO CHAGAS BOMFIM JUNIOR,45.0,2300150,160.3,Acarape - CE,2300150 - 2008,15388.0,50859,13.0,12823.376524,12823.376524,0,0,3305.1078762672214,0.8333361401091759,0.8333361401091759,0.0008448141408890044,0
3,2008,1,CE,13145,ACARAPE,PREFEITO,JOSÉ ACÉLIO PAULINO DE FREITAS,DEFERIDO,15,28/06/1967,-1,MASCULINO,CASADO(A),CE,-1,-1.0,ELEITO,ACARAPE - CE,1967-06-28,2009-01-01,41.54246575342466,1,1,1,1,-1e-06,2008,ACARAPE - 2008,JOSÉ ACÉLIO PAULINO DE FREITAS ACARAPE - 2008,ACARAPE,0.477124183006536,0.32679738562091504,0.0915032679738562,117950.0,117950.0,FLAVIO CHAGAS BOMFIM JUNIOR,45.0,2300150,160.3,Acarape - CE,2300150 - 2008,15388.0,50859,13.0,213934.54894,213934.54894,0,0,3305.1078762672214,13.902687089940214,13.902687089940214,0.0008448141408890044,0
4,2008,1,CE,13030,ACARAÚ,PREFEITO,FRANCISCO DA SILVA CHAVES FILHO,DEFERIDO,10,07/08/1940,-1,MASCULINO,CASADO(A),CE,-1,-1.0,NÃO ELEITO,ACARAÚ - CE,1940-07-08,2009-01-01,68.53150684931506,1,1,0,1,-1e-06,2008,ACARAÚ - 2008,FRANCISCO DA SILVA CHAVES FILHO ACARAÚ - 2008,ACARAÚ,0.44571428571428573,0.3314285714285714,0.08,888.0,888.0,,,2300200,842.6,Acaraú - CE,2300200 - 2008,54257.0,225541,100.0,1610.6306015999999,1610.6306015999999,0,0,4156.901413642479,0.029685212997401254,0.029685212997401254,0.0018430801555559652,0
5,2008,1,CE,13030,ACARAÚ,PREFEITO,MANOEL DUCA DA SILVEIRA NETO,DEFERIDO,15,24/02/1942,-1,MASCULINO,DIVORCIADO(A),CE,-1,-1.0,NÃO ELEITO,ACARAÚ - CE,1942-02-24,2009-01-01,66.8986301369863,1,0,0,1,-1e-06,2008,ACARAÚ - 2008,MANOEL DUCA DA SILVEIRA NETO ACARAÚ - 2008,ACARAÚ,0.44571428571428573,0.3314285714285714,0.08,408500.0,408500.0,,,2300200,842.6,Acaraú - CE,2300200 - 2008,54257.0,225541,100.0,740926.3522,740926.3522,0,0,4156.901413642479,13.655866564682897,13.655866564682897,0.0018430801555559652,0
6,2008,1,CE,13030,ACARAÚ,PREFEITO,PEDRO FONTELES DOS SANTOS,DEFERIDO,13,17/01/1950,-1,MASCULINO,CASADO(A),CE,-1,-1.0,ELEITO,ACARAÚ - CE,1950-01-17,2009-01-01,58.9972602739726,1,1,1,1,-1e-06,2008,ACARAÚ - 2008,PEDRO FONTELES DOS SANTOS ACARAÚ - 2008,ACARAÚ,0.44571428571428573,0.3314285714285714,0.08,23161.0,23161.0,,,2300200,842.6,Acaraú - CE,2300200 - 2008,54257.0,225541,100.0,42008.8010852,42008.8010852,0,0,4156.901413642479,0.7742558763883002,0.7742558763883002,0.0018430801555559652,0
7,2008,1,CE,13056,ACOPIARA,PREFEITO,ANTONIO ALMEIDA NETO,DEFERIDO,14,05/06/1957,-1,MASCULINO,CASADO(A),CE,-1,-1.0,ELEITO,ACOPIARA - CE,1957-05-06,2009-01-01,51.69315068493151,1,1,1,1,-1e-06,2008,ACOPIARA - 2008,ANTONIO ALMEIDA NETO ACOPIARA - 2008,ACOPIARA,0.46835443037974683,0.2974683544303797,0.08227848101265822,627720.06,627720.06,ANTONIO ALMEIDA NETO,23.0,2300309,2253.8,Acopiara - CE,2300309 - 2008,50485.0,160679,165.0,1138541.8219303922,1138541.8219303922,1,0,3182.7077349707833,22.552081250478206,22.552081250478206,0.003268297514113103,0
8,2008,1,CE,13056,ACOPIARA,PREFEITO,FRANCISCO VILMAR FÉLIX MARTINS,DEFERIDO,15,09/02/1957,-1,MASCULINO,CASADO(A),CE,-1,-1.0,NÃO ELEITO,ACOPIARA - CE,1957-09-02,2009-01-01,51.367123287671234,1,1,0,1,-1e-06,2008,ACOPIARA - 2008,FRANCISCO VILMAR FÉLIX MARTINS ACOPIARA - 2008,ACOPIARA,0.46835443037974683,0.2974683544303797,0.08227848101265822,73000.0,73000.0,ANTONIO ALMEIDA NETO,23.0,2300309,2253.8,Acopiara - CE,2300309 - 2008,50485.0,160679,165.0,132405.4436,132405.4436,0,0,3182.7077349707833,2.6226689828661978,2.6226689828661978,0.003268297514113103,0
9,2008,1,CE,13072,AIUABA,PREFEITO,ANTONIO ERLANDES DE LIMA,DEFERIDO,13,18/01/1962,-1,MASCULINO,DIVORCIADO(A),CE,-1,-1.0,NÃO ELEITO,AIUABA - CE,1962-01-18,2009-01-01,46.986301369863014,1,0,0,1,-1e-06,2008,AIUABA - 2008,ANTONIO ERLANDES DE LIMA AIUABA - 2008,AIUABA,0.48120300751879697,0.23308270676691728,0.07518796992481203,18570.0,18555.0,ANTONIO HILSON PEDROSA,15.0,2300408,2434.4,Aiuaba - CE,2300408 - 2008,16253.0,50232,19.0,33681.768324,33654.561726,0,0,3090.6294222605056,2.0723416184089087,2.070667675259952,0.0011690149510859534,0
